BIN	# in LD	PDF	CDF_asc	CDF_desc
0.330000	6174	0.003867	0.538168	0.465700
0.340000	6452	0.004042	0.542209	0.461832
0.350000	6520	0.004084	0.546293	0.457791
0.360000	6400	0.004009	0.550302	0.453707
0.370000	6690	0.004191	0.554493	0.449698
0.380000	6576	0.004119	0.558612	0.445507
0.390000	6948	0.004352	0.562964	0.441388
0.400000	6916	0.004332	0.567296	0.437036
0.410000	6724	0.004212	0.571508	0.432704
0.420000	6914	0.004331	0.575839	0.428492
0.430000	7172	0.004493	0.580332	0.424161
0.440000	6996	0.004382	0.584714	0.419668
0.450000	7434	0.004657	0.589371	0.415286
0.460000	7090	0.004441	0.593812	0.410629
0.470000	7436	0.004658	0.598470	0.406188
0.480000	7514	0.004707	0.603176	0.401530
0.490000	7434	0.004657	0.607833	0.396824
0.500000	7928	0.004966	0.612799	0.392167
0.510000	7892	0.004944	0.617743	0.387201
0.520000	8222	0.005150	0.622893	0.382257
0.530000	8094	0.005070	0.627963	0.377107
0.540000	8430	0.005281	0.633243	0.372037
0.550000	8358	0.005235	0.638479	0.366757
0.560000	8372	0.005244	0.643723	0.361521
0.570000	8556	0.005359	0.649082	0.356277
0.580000	8984	0.005628	0.654710	0.350918
0.590000	9218	0.005774	0.660484	0.345290
0.600000	9092	0.005695	0.666179	0.339516
0.610000	9310	0.005832	0.672011	0.333821
0.620000	9334	0.005847	0.677858	0.327989
0.630000	9768	0.006119	0.683977	0.322142
0.640000	9794	0.006135	0.690111	0.316023
0.650000	9966	0.006243	0.696354	0.309889
0.660000	10054	0.006298	0.702652	0.303646
0.670000	10402	0.006516	0.709168	0.297348
0.680000	10976	0.006875	0.716043	0.290832
0.690000	10986	0.006882	0.722925	0.283957
0.700000	11346	0.007107	0.730032	0.277075
0.710000	11386	0.007132	0.737164	0.269968
0.720000	11572	0.007249	0.744413	0.262836
0.730000	11808	0.007396	0.751809	0.255587
0.740000	11984	0.007507	0.759316	0.248191
0.750000	12318	0.007716	0.767032	0.240684
0.760000	12682	0.007944	0.774976	0.232968
0.770000	13162	0.008245	0.783220	0.225024
0.780000	13574	0.008503	0.791723	0.216780
0.790000	13540	0.008481	0.800204	0.208277
0.800000	13912	0.008714	0.808919	0.199796
0.810000	14228	0.008912	0.817831	0.191081
0.820000	14538	0.009107	0.826938	0.182169
0.830000	14920	0.009346	0.836284	0.173062
0.840000	15064	0.009436	0.845720	0.163716
0.850000	15474	0.009693	0.855413	0.154280
0.860000	15942	0.009986	0.865399	0.144587
0.870000	16166	0.010126	0.875525	0.134601
0.880000	16204	0.010150	0.885675	0.124475
0.890000	16632	0.010418	0.896093	0.114325
0.900000	17212	0.010782	0.906875	0.103907
0.910000	17404	0.010902	0.917777	0.093125
0.920000	17310	0.010843	0.928620	0.082223
0.930000	17870	0.011194	0.939813	0.071380
0.940000	17896	0.011210	0.951023	0.060187
0.950000	17984	0.011265	0.962288	0.048977
0.960000	17948	0.011243	0.973531	0.037712
0.970000	16902	0.010587	0.984118	0.026469
0.980000	15382	0.009635	0.993754	0.015882
0.990000	9968	0.006244	0.999997	0.006246
1.000000	4	0.000003	1.000000	0.000003
