"group_id","biological_replicate","domain","spot_count","library_size","TMM_normalization_factor","effective_library_size"
"DQ02__P5","DQ02","P5",228,3878043,0.940853713292141,3648671.1568566
"DQ02__coleoptile","DQ02","coleoptile",1068,13791849,0.694025165089395,9571890.279113
"DQ02__co_v","DQ02","co_v",45,929556,0.93950104829565,873318.836449511
"DQ03__SAM","DQ03","SAM",4,23874,1.63966724460099,39145.4157976041
"DQ03__P1_P2","DQ03","P1_P2",41,340970,1.0536313929863,359256.696066538
"DQ03__P3","DQ03","P3",65,702309,1.05029916228237,737634.554363369
"DQ03__P4","DQ03","P4",89,820457,1.02912817795003,844355.417496352
"DQ03__P5","DQ03","P5",186,2620609,0.981913574938282,2573211.55170544
"DQ03__coleoptile","DQ03","coleoptile",874,12239772,0.713873025213179,8737643.06555956
"DQ03__co_v","DQ03","co_v",53,1003193,0.964340866259623,967420.00664559
"DQ04__SAM","DQ04","SAM",3,13789,1.94669581309455,26842.9885667607
"DQ04__P1_P2","DQ04","P1_P2",40,308278,1.02046950994813,314588.29958779
"DQ04__P3","DQ04","P3",77,631048,1.03472128935517,652958.800205004
"DQ04__P4","DQ04","P4",120,1145779,1.01023217684563,1157502.81335401
"DQ04__P5","DQ04","P5",216,3466965,0.968645760489695,3358260.94901615
"DQ04__coleoptile","DQ04","coleoptile",970,12953965,0.741135368573621,9600641.62476478
"DQ04__co_v","DQ04","co_v",47,861300,0.960528941705281,827303.577490759
"DQ06__SAM","DQ06","SAM",3,18112,1.85271225934026,33556.3244411709
"DQ06__P1_P2","DQ06","P1_P2",45,410358,1.03767946352531,425820.069293319
"DQ06__P3","DQ06","P3",62,593615,1.05887784131683,628565.769773287
"DQ06__P4","DQ06","P4",152,1766885,1.004021360116,1773990.28086856
"DQ06__P5","DQ06","P5",228,3594780,0.969837210250665,3486351.40666488
"DQ06__coleoptile","DQ06","coleoptile",945,14607990,0.718088144981606,10489824.4410099
"DQ06__co_v","DQ06","co_v",40,852832,0.943018263813336,804236.151964455
"DQ07__SAM","DQ07","SAM",6,32949,1.53561198429711,50596.8792706054
"DQ07__P1_P2","DQ07","P1_P2",69,377387,1.11634828711821,421295.331030681
"DQ07__P3","DQ07","P3",87,656777,1.11101842118124,729691.345608149
"DQ07__P4","DQ07","P4",164,1388133,1.083863448624,1504546.62052877
"DQ07__P5","DQ07","P5",259,2910866,1.03918069586562,3024915.75545156
"DQ07__coleoptile","DQ07","coleoptile",1144,15695957,0.747075332436472,11726062.2936836
"DQ07__co_v","DQ07","co_v",55,971386,0.927043968591021,900517.532473758
"DQ08__SAM","DQ08","SAM",2,6182,3.25337998914783,20112.3950929119
"DQ08__P1_P2","DQ08","P1_P2",33,241510,1.12031504002067,270567.285315392
"DQ08__P3","DQ08","P3",48,429759,1.11692417552248,480008.216748367
"DQ08__P4","DQ08","P4",115,1123522,1.07257209840928,1205058.34914899
"DQ08__P5","DQ08","P5",272,4953322,1.00751204479622,4990531.57675409
"DQ08__coleoptile","DQ08","coleoptile",1081,17922983,0.767505355251873,13755985.4345883
"DQ08__co_v","DQ08","co_v",40,944194,1.00776744113458,951527.971314624
