"section_id","n_spots","n_shared_genes","n_HVGs","n_markers"
"Section0",126,28750,3000,1200
"Section1",1604,28750,3000,1200
"Section2",1360,28750,3000,1200
"Section3",1426,28750,3000,1200
"Section4",1099,28750,3000,1200
"Section5",252,28750,3000,1200
"Section6",126,28750,3000,1200
"Section7",138,28750,3000,1200
"Section8",261,28750,3000,1200
