"PC","standard_deviation","variance_percent","cumulative_variance_percent"
1,31.9770516199178,43.0355467058443,43.0355467058443
2,20.0404985885739,16.9031456139191,59.9386923197634
3,14.6860277201721,9.0773519767116,69.016044296475
4,11.726418660278,5.78737040792878,74.8034147044038
5,6.83819935603614,1.96804037530966,76.7714550797134
6,6.4098469782685,1.72920232966762,78.5006574093811
7,6.25559072344156,1.64697551353752,80.1476329229186
8,5.95410779563051,1.49205170916626,81.6396846320849
9,5.44445032034721,1.24755174220324,82.8872363742881
10,4.99809039635405,1.0513775555442,83.9386139298323
11,4.95937533833709,1.03515276034813,84.9737666901804
12,4.74063359549203,0.945852178054159,85.9196188682346
13,4.40489453033743,0.816622829529339,86.7362416977639
14,4.10814410644351,0.710300020789034,87.4465417185529
15,3.99786323870095,0.672676654039988,88.1192183725929
16,3.95022986239805,0.656742654513958,88.7759610271069
17,3.87685154975086,0.632570349797013,89.4085313769039
18,3.69237452574554,0.573801898077495,89.9823332749814
19,3.62284424219742,0.552395095319246,90.5347283703006
20,3.56205655485141,0.534013344031317,91.0687417143319
21,3.39279916786078,0.484469894072547,91.5532116084045
22,3.34103449994587,0.469799347130509,92.023010955535
23,3.23120246589195,0.439419000208751,92.4624299557438
24,3.21330087944935,0.434563528121168,92.8969934838649
25,3.01221712863693,0.381876590097883,93.2788700739628
26,2.97612077430249,0.372779130661652,93.6516492046245
27,2.93361112671893,0.362205947095716,94.0138551517202
28,2.8764305329487,0.348223654189136,94.3620788059093
29,2.8543269066741,0.342892441067972,94.7049712469773
30,2.84475112228619,0.340595607903768,95.0455668548811
31,2.79101421349062,0.327849544630884,95.3734163995119
32,2.71957928992837,0.311281950427907,95.6846983499399
33,2.6958263370732,0.305868189329235,95.9905665392691
34,2.62380827141805,0.289744153904731,96.2803106931738
35,2.60655606978771,0.285946398801349,96.5662570919752
36,2.56046751610159,0.27592371539831,96.8421808073735
37,2.54690411850181,0.273008192601847,97.1151889999753
38,2.52136412032975,0.267560269834071,97.3827492698094
39,2.46453633259579,0.255635367212833,97.6383846370222
40,2.40629178689741,0.243695250962233,97.8820798879845
41,2.39191655956509,0.240792269171313,98.1228721571558
42,2.33729666177694,0.229920749235499,98.3527929063913
43,2.30667913127166,0.223936487296128,98.5767293936874
44,2.29654000354186,0.221972165061863,98.7987015587493
45,2.24838461257272,0.212760840480933,99.0114623992302
46,2.22065272704704,0.207544764962127,99.2190071641923
47,2.19696010980104,0.20313971155512,99.4221468757474
48,2.17343287391406,0.198812163636236,99.6209590393837
49,2.12958522964569,0.1908712599722,99.8118302993559
50,2.11446062771627,0.188169700644112,100
