"domain","PC1","PC2","label"
"SAM",-283.428281508884,60.9078050653888,"SAM"
"P1_P2",-33.7541258277968,-76.9464566330849,"P1-P2"
"P3",3.71294539342947,-68.9428747078006,"P3"
"P4",28.6904456346118,-53.3789266881182,"P4"
"P5",58.1333627109408,-20.2467453374411,"P5"
"coleoptile",131.42653586645,69.8131625162362,"coleoptile"
"co_v",95.2191177312512,88.7940357848203,"co-v"
